"","Dataset","Model","Mean","Lower","Upper"
"1","ACRG","LASSO",0.994666666666667,0.989166666666667,0.999166666666667
"2","ACRG","LASSO-EN",0.994,0.9875,0.999166666666667
"3","ACRG","LASSO-RF",0.99075,0.9835,0.998
"4","FFPE","LASSO",0.852631578947368,0.846315789473684,0.858947368421053
"5","FFPE","LASSO-EN",0.902105263157895,0.871578947368421,0.932631578947369
"6","FFPE","LASSO-RF",0.833157894736842,0.807368421052632,0.861052631578948
"7","Organoid","LASSO",0.773333333333333,0.746666666666667,0.803333333333333
"8","Organoid","LASSO-EN",0.79,0.74,0.84
"9","Organoid","LASSO-RF",0.55,0.473333333333333,0.626666666666667
